Name,Disaster,Begin Date,End Date,Total loss Cost (Millions of Dollars),Deaths,Budget_asset
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,20170328,3234,0,43600
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,3241.2,21,43800
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,20200407,20200408,3284.3,0,44000
Houston Flooding (April 2016),Flooding,20160417,20160418,3291.5,8,44200
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,3299.2,0,44400
Florida Freeze (January 1985),Freeze,19850120,19850122,3324,0,44600
Southern Plains Drought (Spring-Summer 1996),Drought,19960301,19960831,3385.9,0,44800
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,3412.8,7,45000
Arkansas River Flooding (June 2019),Flooding,20190520,20190614,3448.5,5,45200
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,20210427,20210428,3463.9,0,45400
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3509.7,9,45600
Midwest Tornadoes (April 2006),Severe Storm,20060413,20060416,3514.2,27,45800
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3515.9,4,46000
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,20180601,20181230,3528.2,0,46200
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,20070417,3536,9,46400
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,19990506,3541.4,55,46600
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,20110404,20110405,3607.7,9,46800
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,20120629,20120702,3668.4,28,47000
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,20151130,3694.1,12,47200
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3702.9,30,47400
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3742.5,15,47600
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,3752,62,47800
Western Wildfires (Summer 2007),Wildfire,20070601,20070831,3837.9,12,48000
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,20200412,20200413,3926.2,35,48200
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3971.5,7,48400
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,3973.6,42,48600
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,20170511,3986.5,0,48800
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,4011,13,49000
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,4026.2,63,49200
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,20080527,4089.9,13,49400
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,20211210,20211210,4110.9,93,49600
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,20120501,4161,1,49800
West/Northeast/Southeast Drought (2016),Drought,20160101,20161231,4235.6,0,50000
North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,20160412,4268.3,0,50200
Eastern Drought/Heat Wave (Summer 1999),Drought,19990601,19990831,4448.1,502,50400
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,4467.3,3,50600
Western Storms and Flooding (December 1982-March 1983),Flooding,12/13/1982,3/31/1983,4468.9,50,50800
California Freeze (December 1998),Freeze,19981220,19981228,4525,0,51000
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,20140523,4567.2,0,51200
Gulf States Storms and Flooding (December 1982-January 1983),Flooding, 1982-12-0,1/15/1983,4577.5,45,51400
Southeast Drought/Heat Wave (Summer 1986),Drought,19860601,19860831,4815.7,100,51600
Southwest/Great Plains Drought (2009),Drought,20090101,20091231,4819.1,0,51800
Florida Freeze (December 1989),Freeze,19891223,19891225,4820,10,52000
California Flooding (January-March 1995),Flooding,19950101,19950331,4850,27,52200
Hurricane Zeta (October 2020),Tropical Cyclone,20201028,20201029,4874.3,6,52400
Western Drought (2014),Drought,20140101,20141231,4939.5,0,52600
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,20200601,20201230,5034.4,45,52800
Arizona Severe Weather (October 2010),Severe Storm,20101005,20101006,5092,0,53000
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,20070601,20071130,5095.2,15,53200
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,5106.5,3,53400
Northeast Winter Storm (December 1992),Winter Storm,19921210,19921213,5115.1,19,53600
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5127.7,3,53800
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,20190601,20191130,5130,3,54000
Hurricane Isaias (August 2020),Tropical Cyclone,20200803,20200804,5328,16,54200
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,5551.3,36,54400
Western Drought (2015),Drought,20150101,20151231,5582.7,0,54600
Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,5675.7,187,54800
Tropical Storm Imelda (September 2019),Tropical Cyclone,20190917,20190921,5700,5,55000
Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,5964.9,9,55200
Freeze / Cold Wave (December 1983),Freeze,19831215,19831225,5997.6,151,55400
California Wildfires (Fall 2003),Wildfire,20030901,20031130,6146.7,22,55600
Southern Drought and Heat Wave (Summer 1998),Drought,19980601,19980831,6385.7,200,55800
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,6417,7,56000
U.S. Drought (Spring-Summer 1991),Drought,19910301,19910831,6528.5,0,56200
Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,20030510,6564.2,51,56400
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,6728.1,11,56600
Oakland Firestorm (October 1991),Wildfire,19911001,19911031,7029,25,56800
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7094.6,4,57000
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,7237.7,0,57200
California Freeze (December 1990),Freeze,19901218,19901225,7786,0,57400
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,7976,53,57600
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,20030301,20031130,8078.7,35,57800
Hurricane Sally (September 2020),Tropical Cyclone,20200915,20200917,8147,5,58000
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,20000301,20001130,8645.1,140,58200
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,8664.8,55,58400
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,8760,21,58600
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,20060831,8817.1,0,58800
Southeast Drought (Summer 1983),Drought,19830601,19830831,8862.6,0,59000
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,8909.1,27,59200
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,9263,37,59400
Western/Southern Plains Drought and Heat Wave (2022),Drought,1/1/2022,9/30/2022,9326.7,117,59600
Western Drought and Heat Wave (2021),Drought,20210101,20211231,9442.6,229,59800
U.S. Drought (2008),Drought,20080101,20081231,9673.5,0,60000
South Plains Severe Weather (May 1995),Severe Storm,19950505,19950507,10534,32,60200
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,10712.2,16,60400
Western Wildfires (2021),Wildfire,20210601,20211231,11232,8,60600
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,11275.2,270,60800
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,11294.4,77,61000
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,11544.8,28,61200
Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,20110527,11734.9,177,61400
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,12100,49,61600
Louisiana Flooding (August 2016),Flooding,20160812,20160815,12300,13,61800
Missouri River and North Central Flooding (March 2019),Flooding,20190314,20190331,12443.3,3,62000
Central Severe Weather - Derecho (August 2020),Severe Storm,20200810,20200810,12460.6,4,62200
